Ferguson HVAC Supply - Purchase History Export
Account: Comfort Pro Heating & Cooling
Account #: 88241
Period: 2025 Annual

Item #,Description,Mfr,Mfr Part,Qty,Unit Price,Ext Price,UOM
FRG-44120,R-410A Refrigerant 25 lb Cyl,Honeywell,R410A-25,18,$178.00,$3204.00,cylinder
FRG-44135,R-32 Refrigerant 10 lb Cyl,Daikin,R32-10,6,$108.00,$648.00,cylinder
FRG-55012,Run Cap 35/5 MFD 440V Dual,Mars,12035,85,$15.50,$1317.50,each
FRG-55045,Run Cap 45/5 MFD 440V Dual,Mars,12045,60,$17.00,$1020.00,each
FRG-55203,Start Cap 189-227 MFD 330V,Mars,12203,40,$12.50,$500.00,each
FRG-61230,Contactor 2 Pole 30A 24V,Packard,C230B,55,$22.00,$1210.00,each
FRG-61130,Contactor 1 Pole 30A 24V,Packard,C130A,45,$18.50,$832.50,each
FRG-72905,Condenser Fan Motor 1/3 HP 825RPM,Genteq,3905,22,$165.00,$3630.00,each
FRG-71860,Blower Motor 1/2 HP 1075 4-Spd,US Motors,1860,15,$218.00,$3270.00,each
FRG-83820,7-Day Programmable Tstat,Honeywell,TH8320,30,$118.00,$3540.00,each
FRG-83005,Smart WiFi Thermostat,Ecobee,EB-STATE5,18,$215.00,$3870.00,each
FRG-90820,Air Filter MERV 8 20x25x1 12pk,Filtrete,FPL08,40,$52.00,$2080.00,case
FRG-91116,Air Filter MERV 11 16x25x1 12pk,Filtrete,FPL11,25,$68.00,$1700.00,case
FRG-A1088,Insulated Flex Duct R8 8in 25ft,Atco,FLEX-R8-8,35,$82.00,$2870.00,box
FRG-A3022,Foil Duct Tape UL181 2.5in 60yd,Nashua,322,48,$17.00,$816.00,roll
FRG-A0605,Galv Round Pipe 6in 5ft 26ga,Imperial,GV0605,120,$11.00,$1320.00,each
FRG-LS3858,Copper Lineset 3/8x5/8 50ft,Mueller,LS3858-50,24,$268.00,$6432.00,each
FRG-P0710,PVC Condensate 3/4in 10ft,Charlotte,PVC0710,80,$8.50,$680.00,each
FRG-PMP20,Condensate Pump 120V 1/30HP,Little Giant,VCMA-20,28,$82.00,$2296.00,each
FRG-CL3030,Evaporator Coil Cased 2.5 Ton,Goodman,CAPF3030,12,$498.00,$5976.00,each
FRG-NC4168,Evap Coil Cleaner 1 Gallon,Nu-Calgon,4168-08,36,$34.00,$1224.00,gallon
FRG-NIT40,Nitrogen Cylinder 40cf Disp,Thermadyne,NITRO-40,15,$88.00,$1320.00,cylinder
FRG-BZ15,Silver Braze Rod 15% 1lb,Harris,15SAF1,20,$52.00,$1040.00,tube
FRG-SW188,Tstat Wire 18/8 Solid 250ft,Southwire,55188102,30,$82.00,$2460.00,roll
FRG-WHP106,AC Disconnect Whip 6ft 10/3,Diversitech,WHP10-6,65,$22.00,$1430.00,each
FRG-UC3636,Condenser Pad 36x36x3 Plastic,Diversitech,UC3636-3,40,$45.00,$1800.00,each
FRG-APCOX,UV-C Air Purifier 24V,Fresh-Aire,APCO-X,18,$268.00,$4824.00,each
FRG-767A,Hot Surface Igniter Universal,White-Rodgers,767A-372,55,$42.00,$2310.00,each
FRG-FS123,Flame Sensor Universal,Supco,FS123,70,$14.00,$980.00,each
FRG-99999,Misc Shop Supplies Bundle,Various,,1,$245.00,$245.00,each
